name,code
TERTRE,TRT
TERTRES,TRT
TOUR,TOUR
TRAVERSE,TRA
VAL,VAL
VALLEE,VAL
VALLON,VAL
VENELLE,VEN
VENELLES,VEN
VIA,VIA
VIEILLE ROUTE,VTE
VIEILLE-ROUTE,VTE
VIEUX CHEMIN,VCHE
VIEUX-CHEMIN,VCHE
VILLA,VLA
VILLAGE,VGE
VILLAGES,VGE
VILLAS,VLA
VOIE,VOI
VOIE COMMUNALE,VC
VOIE-COMMUNALE,VC
VOIES,VOI
ZONE,ZONE
ZONE A URBANISER EN PRIORITE,ZUP
ZONE ARTISANALE,ZA
ZONE D AMENAGEMENT CONCERTE,ZAC
ZONE D AMENAGEMENT DIFFERE,ZAD
ZONE D'AMENAGEMENT CONCERTE,ZAC
ZONE D'AMENAGEMENT DIFFERE,ZAD
ZONE INDUS,ZI
ZONE INDUSTRIELLE,ZI
ZONE-ARTISANALE,ZA
ZONE-A-URBANISER-EN-PRIORITE,ZUP
ZONE-D-AMENAGEMENT-CONCERTE,ZAC
ZONE-D-AMENAGEMENT-DIFFERE,ZAD
ZONE-INDUS,ZI
ZONE-INDUSTRIELLE,ZI 
